AS,001,uAir Force ROTC Physical Training, uJohn David Anthony  Gasa, u6:30 am,7:30 am, uM
AS,002,, uAir Force ROTC Physical Training 2, uJohn David Anthony  Gasa, u6:30 am,7:30 am, uM
AS,003,, uAir Force ROTC Physical Training 3, uJohn David Anthony  Gasa, u6:30 am,7:30 am, uM
AS,004,, uAir Force ROTC Physical Training 4, uJohn David Anthony  Gasa, u6:30 am,7:30 am, uM
AS,005,, uAir Force ROTC Physical Training, uJohn David Anthony  Gasa, u6:30 am,7:30 am, uM
AS,102,, uFoundations of The U.S. Air Force, uJohn David Anthony  Gasa, u10:00 am,11:30 am, uT
AS,102,, uFoundations of The U.S. Air Force, uBryan Richard  Scism, u2:00 pm,3:30 pm, uT
AS,112,, uLeadership Laboratory, uJohn David Anthony  Gasa, u4:10 pm,6:00 pm, uT
AS,202,, uThe Evaluation of USAF Air & Space Power, uLarry B  Ingersoll, u8:00 am,9:30 am, uT
AS,202,, uThe Evaluation of USAF Air & Space Power, uJohn David Anthony  Gasa, u12:00 pm,1:30 pm, uT
AS,212,, uLeadership Laboratory, uJohn David Anthony  Gasa, u4:10 pm,6:00 pm, uT
AS,302,, uLeadership & Management, uDrew Marie  Lindley, u8:00 am,9:30 am, uTR
AS,312,, uLeadership Laboratory, uJohn David Anthony  Gasa, u4:10 pm,6:00 pm, uT
AS,402,, uNational Security Affairs & Preparation for Active Duty, uJohn David Anthony  Gasa, u7:00 am,8:30 am, uTW
AS,412,, uLeadership Laboratory, uJohn David Anthony  Gasa, u4:10 pm,6:00 pm, uT
AS,415,, uLeadership Laboratory, uJohn David Anthony  Gasa, u4:10 pm,6:00 pm, uT
BIO,005,uBIO 205 Workshop, uAmy S  Beadles-Bohling, u4:50 pm,5:50 pm, uM
BIO,005,, uBIO 205 Workshop, uAmy S  Beadles-Bohling, u6:00 pm,7:00 pm, uM
BIO,005,, uBIO 205 Workshop, uAmy S  Beadles-Bohling, u4:50 pm,5:50 pm, uT
BIO,005,, uBIO 205 Workshop, uAmy S  Beadles-Bohling, u6:00 pm,7:00 pm, uT
BIO,005,, uBIO 205 Workshop, uAmy S  Beadles-Bohling, u4:50 pm,5:50 pm, uM
BIO,005,, uBIO 205 Workshop, uAmy S  Beadles-Bohling, u4:50 pm,5:50 pm, uT
BIO,005,, uBIO 205 Workshop, uAmy S  Beadles-Bohling, u6:00 pm,7:00 pm, uM
BIO,005,, uBIO 205 Workshop, uAmy S  Beadles-Bohling, u6:00 pm,7:00 pm, uT
BIO,203,, uHuman Form and Function, uRobert Louis  Hesslink Jr, u4:10 pm,5:35 pm, uTR
BIO,205,, uFoundations of Biology, uAmy S  Beadles-Bohling, u9:15 am,10:10 am, uMWF
BIO,205,, uFoundations of Biology, uAmy S  Beadles-Bohling, u11:25 am,12:20 pm, uMWF
BIO,207,, uIntroduction to Molecular and Cellular Biology, uDavid   Wynne, u8:10 am,9:05 am, uMWF
BIO,207,, uIntroduction to Molecular and Cellular Biology, uAdrienne A  Greaves, u10:20 am,11:15 am, uMWF
BIO,207,, uIntroduction to Molecular and Cellular Biology, uAdrienne A  Greaves, u11:25 am,12:20 pm, uMWF
BIO,208,, uIntroduction to Evolution and Ecology, uDavid W  Taylor, u10:20 am,11:15 am, uMWF
BIO,208,, uIntroduction to Evolution and Ecology, uDavid W  Taylor, u12:30 pm,1:25 pm, uMWF
BIO,208,, uIntroduction to Evolution and Ecology, uDavid W  Taylor, u1:35 pm,2:30 pm, uMWF
BIO,277,, uIntroduction to Molecular and Cellular Biology Laboratory, uDavid   Wynne, u8:10 am,11:10 am, uR
BIO,277,, uIntroduction to Molecular and Cellular Biology Laboratory, uDavid   Wynne, u12:55 pm,3:55 pm, uR
BIO,277,, uIntroduction to Molecular and Cellular Biology Laboratory, uSarah   Schmits, u5:10 pm,8:10 pm, uT
BIO,277,, uIntroduction to Molecular and Cellular Biology Laboratory, uAdrienne A  Greaves, u9:45 am,12:45 pm, uT
BIO,277,, uIntroduction to Molecular and Cellular Biology Laboratory, uAdrienne A  Greaves, u12:55 pm,3:55 pm, uT
BIO,278,, uIntroduction to Evolution and Ecology Laboratory, uLaurie J  Dizney, u1:35 pm,4:35 pm, uM
BIO,278,, uIntroduction to Evolution and Ecology Laboratory, uLaurie J  Dizney, u5:00 pm,8:00 pm, uM
BIO,278,, uIntroduction to Evolution and Ecology Laboratory, uLaurie J  Dizney, u9:45 am,12:45 pm, uT
BIO,278,, uIntroduction to Evolution and Ecology Laboratory, uLaurie J  Dizney, u9:45 am,12:45 pm, uR
BIO,301,, uMicrobiology, uDavid   Katz, u2:40 pm,3:35 pm, uMWF
BIO,304,, uWetlands Ecology, uChristine L  Weilhoefer, u9:45 am,11:10 am, uTR
BIO,305,, uHuman Anatomy and Physiology 1, uJulia Cleverly  Ruppell, u11:25 am,12:20 pm, uMWF
BIO,305,, uHuman Anatomy and Physiology 1, uJacqueline   Van Hoomissen, u9:45 am,11:10 am, uTR
BIO,305,, uHuman Anatomy and Physiology 1, uJonathan Edwin  Elliott, u11:20 am,12:45 pm, uTR
BIO,305,, uHuman Anatomy and Physiology 1, uJulia Cleverly  Ruppell, u12:30 pm,1:25 pm, uMWF
BIO,305,, uHuman Anatomy and Physiology 1, uDavid   Katz, u5:10 pm,6:35 pm, uMW
BIO,306,, uHuman Anatomy and Physiology 2, uKyle L  Flann, u8:10 am,9:05 am, uMWF
BIO,306,, uHuman Anatomy and Physiology 2, uAnthony   Drew, u6:10 pm,7:35 pm, uTR
BIO,306,, uHuman Anatomy and Physiology 2, uJohn M  White, u9:45 am,11:10 am, uTR
BIO,336,, uDevelopmental Biology, uLaura   Dyer, u9:15 am,10:10 am, uMWF
BIO,338,, uMarine Biology of the Pacific Northwest, uTara Elaine  Prestholdt, u11:20 am,12:45 pm, uTR
BIO,342,, uNeurobiology, uJonathan Edwin  Elliott, u2:30 pm,3:55 pm, uTR
BIO,345,, uVertebrate Biology, uKathleen M  OReilly , u11:25 am,12:20 pm, uMWF
BIO,348,, uConservation Biology, uLaurie J  Dizney, u12:55 pm,2:20 pm, uTR
BIO,348H,, uConservation Biology (Honors), uLaurie J  Dizney, u12:55 pm,2:20 pm, uTR
BIO,359,, uMicrobiology for Nurses, uPaula A.  Tower, u11:25 am,12:20 pm, uMWF
BIO,359,, uMicrobiology for Nurses, uPaula A.  Tower, u10:20 am,11:15 am, uMWF
BIO,361,, uMicrobiology Lab, uDavid   Katz, u9:45 am,12:45 pm, uT
BIO,361,, uMicrobiology Lab, uDavid   Katz, u2:30 pm,5:30 pm, uT
BIO,365,, uHuman Anatomy & Physiology Lab 1, uPatrick Michael  Geraghty, u5:10 pm,8:10 pm, uM
BIO,365,, uHuman Anatomy & Physiology Lab 1, uJohn M  White, u9:15 am,12:15 pm, uM
BIO,365,, uHuman Anatomy & Physiology Lab 1, uKristin M   Carson, u5:10 pm,8:10 pm, uW
BIO,365,, uHuman Anatomy & Physiology Lab 1, uPatrick Michael  Geraghty, u1:35 pm,4:35 pm, uR
BIO,365,, uHuman Anatomy & Physiology Lab 1, uJonathan Edwin  Elliott, u1:35 pm,4:35 pm, uW
BIO,365,, uHuman Anatomy & Physiology Lab 1, uJohn M  White, u1:35 pm,4:35 pm, uM
BIO,365,, uHuman Anatomy & Physiology Lab 1, uBonnie Jean  Sumner, u9:15 am,12:15 pm, uW
BIO,365,, uHuman Anatomy & Physiology Lab 1, uBonnie Jean  Sumner, u9:15 am,12:15 pm, uF
BIO,365,, uHuman Anatomy & Physiology Lab 1, uJonathan Edwin  Elliott, u5:10 pm,8:10 pm, uR
BIO,366,, uHuman Anatomy & Physiology Lab 2, uKyle L  Flann, u9:15 am,12:15 pm, uM
BIO,366,, uHuman Anatomy & Physiology Lab 2, uAmy S  Beadles-Bohling, u1:35 pm,4:35 pm, uM
BIO,366,, uHuman Anatomy & Physiology Lab 2, uChristie Engesser  Cesar, u9:45 am,12:45 pm, uT
BIO,366,, uHuman Anatomy & Physiology Lab 2, uChristie Engesser  Cesar, u12:55 pm,3:55 pm, uT
BIO,366,, uHuman Anatomy & Physiology Lab 2, uKyle L  Flann, u9:15 am,12:15 pm, uW
BIO,366,, uHuman Anatomy & Physiology Lab 2, uJohn M  White, u12:30 pm,3:30 pm, uW
BIO,366,, uHuman Anatomy & Physiology Lab 2, uChristie Engesser  Cesar, u9:45 am,12:45 pm, uR
BIO,366,, uHuman Anatomy & Physiology Lab 2, uKyle L  Flann, u9:15 am,12:15 pm, uF
BIO,366,, uHuman Anatomy & Physiology Lab 2, uChristie Engesser  Cesar, u12:55 pm,3:55 pm, uR
BIO,368,, uMarine Biology Laboratory, uTara Elaine  Prestholdt, u1:35 pm,4:35 pm, uW
BIO,368,, uMarine Biology Laboratory, uTara Elaine  Prestholdt, u12:55 pm,3:55 pm, uR
BIO,374,, uWetlands Ecology Laboratory, uChristine L  Weilhoefer, u10:20 am,1:20 pm, uW
BIO,374,, uWetlands Ecology Laboratory, uChristine L  Weilhoefer, u1:35 pm,4:35 pm, uW
BIO,375,, uVertebrate Biology Laboratory, uKathleen M  OReilly , u1:35 pm,4:35 pm, uM
BIO,375,, uVertebrate Biology Laboratory, uKathleen M  OReilly , u12:55 pm,3:55 pm, uT
BIO,376,, uDevelopmental Biology Laboratory, uLaura   Dyer, u12:55 pm,3:55 pm, uW
BIO,376,, uDevelopmental Biology Laboratory, uLaura   Dyer, u12:55 pm,3:55 pm, uR
BIO,379,, uMicrobiology Lab for Nurses, uPriya   Mani, u9:45 am,12:45 pm, uR
BIO,379,, uMicrobiology Lab for Nurses, uPriya   Mani, u2:30 pm,5:30 pm, uR
BIO,379,, uMicrobiology Lab for Nurses, uPriya   Mani, u11:25 am,2:25 pm, uF
BIO,379,, uMicrobiology Lab for Nurses, uPriya   Mani, u1:35 pm,4:35 pm, uW
BIO,379,, uMicrobiology Lab for Nurses, uPriya   Mani, u5:10 pm,8:10 pm, uW
BIO,387,, uService Learning In Biology, uAmy S  Beadles-Bohling, u2:30 pm,3:45 pm, uR
BIO,400,, uImmunology, uSusan Elizabeth  Murray, u9:15 am,10:10 am, uMWF
BIO,400,, uImmunology, uSusan Elizabeth  Murray, u10:20 am,11:15 am, uMWF
BIO,453,, uEvolution, uAmelia J  Ahern-Rindell, u9:45 am,11:10 am, uTR
BIO,453,, uEvolution, uJulia Cleverly  Ruppell, u4:10 pm,6:55 pm, uW
